accountID,balance,currency,accountType,riskScore,isSAR,customerID
A00000,32007.4,USD,CHECKING,0.0,False,C0035
A00001,12320.1,USD,CHECKING,0.0,False,C0013
A00002,33867.3,USD,CHECKING,0.0,False,C0075
A00003,21153.9,USD,CHECKING,0.0,False,C0011
A00004,11010.03,USD,CHECKING,0.0,False,C0071
A00005,10022.0,USD,SAVINGS,0.0,False,C0028
A00006,22515.53,USD,SAVINGS,0.0,False,C0000
A00007,37964.49,USD,CHECKING,0.0,False,C0054
A00008,17078.5,USD,CHECKING,0.0,False,C0027
A00009,47864.93,USD,SAVINGS,0.0,False,C0013
A00010,4728.02,USD,CHECKING,0.0,False,C0045
A00011,42389.97,USD,SAVINGS,0.0,False,C0005
A00012,36513.62,USD,CHECKING,0.0,False,C0048
A00013,4032.13,USD,SAVINGS,0.0,False,C0079
A00014,44284.04,USD,SAVINGS,0.0,False,C0073
A00015,9695.2,USD,CHECKING,0.0,False,C0005
A00016,33097.04,USD,SAVINGS,0.0,False,C0010
A00017,42780.35,USD,CHECKING,0.0,False,C0048
A00018,13970.88,USD,SAVINGS,0.0,False,C0020
A00019,18572.03,USD,CHECKING,0.0,False,C0034
A00020,35120.83,USD,CHECKING,0.0,False,C0077
A00021,31785.42,USD,CHECKING,0.0,False,C0020
A00022,23166.78,USD,SAVINGS,0.0,False,C0071
A00023,11058.8,USD,SAVINGS,0.0,False,C0007
A00024,11529.5,USD,CHECKING,0.0,False,C0040
A00025,20118.12,USD,CHECKING,0.0,False,C0027
A00026,45665.49,USD,SAVINGS,0.0,False,C0027
A00027,32806.39,USD,SAVINGS,0.0,False,C0058
A00028,7229.29,USD,CHECKING,0.0,False,C0031
A00029,37274.95,USD,SAVINGS,0.0,False,C0074
A00030,21478.85,USD,SAVINGS,0.0,False,C0046
A00031,11044.11,USD,CHECKING,0.0,False,C0065
A00032,24726.44,USD,CHECKING,0.0,False,C0014
A00033,7726.78,USD,CHECKING,0.0,False,C0054
A00034,29860.81,USD,SAVINGS,0.0,False,C0048
A00035,29834.83,USD,SAVINGS,0.0,False,C0067
A00036,12645.56,USD,CHECKING,0.0,False,C0014
A00037,34117.35,USD,SAVINGS,0.0,False,C0043
A00038,5666.45,USD,SAVINGS,0.0,False,C0020
A00039,22740.81,USD,SAVINGS,0.0,False,C0064
A00040,38121.91,USD,CHECKING,0.0,False,C0038
A00041,42099.3,USD,CHECKING,0.0,False,C0019
A00042,18758.3,USD,CHECKING,0.0,False,C0069
A00043,47679.64,USD,CHECKING,0.0,False,C0076
A00044,16275.39,USD,CHECKING,0.0,False,C0014
A00045,46462.02,USD,SAVINGS,0.0,False,C0030
A00046,2990.47,USD,CHECKING,0.0,False,C0010
A00047,36622.19,USD,CHECKING,0.0,False,C0068
A00048,38315.14,USD,CHECKING,0.0,False,C0060
A00049,47347.75,USD,CHECKING,0.0,False,C0033
A00050,26430.92,USD,SAVINGS,0.0,False,C0027
A00051,46452.78,USD,CHECKING,0.0,False,C0039
A00052,20009.72,USD,SAVINGS,0.0,False,C0056
A00053,44990.74,USD,SAVINGS,0.0,False,C0015
A00054,12470.49,USD,CHECKING,0.0,False,C0043
A00055,1149.61,USD,CHECKING,0.0,False,C0075
A00056,11088.85,USD,CHECKING,0.0,False,C0007
A00057,11524.2,USD,CHECKING,0.0,False,C0042
A00058,3635.78,USD,CHECKING,0.0,False,C0035
A00059,33481.99,USD,CHECKING,0.0,False,C0069
A00060,6702.36,USD,SAVINGS,0.0,False,C0031
A00061,39252.51,USD,SAVINGS,0.0,False,C0024
A00062,4806.86,USD,SAVINGS,0.0,False,C0045
A00063,21236.57,USD,SAVINGS,0.0,False,C0006
A00064,33700.89,USD,CHECKING,0.0,False,C0007
A00065,20190.8,USD,SAVINGS,0.0,False,C0013
A00066,12507.95,USD,CHECKING,0.0,False,C0068
A00067,22485.82,USD,SAVINGS,0.0,False,C0023
A00068,13999.4,USD,CHECKING,0.0,False,C0009
A00069,22212.22,USD,CHECKING,0.0,False,C0006
A00070,32642.03,USD,CHECKING,0.0,False,C0011
A00071,46325.71,USD,CHECKING,0.0,False,C0021
A00072,20380.06,USD,SAVINGS,0.0,False,C0027
A00073,43246.05,USD,CHECKING,0.0,False,C0021
A00074,19010.76,USD,SAVINGS,0.0,False,C0033
A00075,46333.25,USD,SAVINGS,0.0,False,C0036
A00076,21208.07,USD,SAVINGS,0.0,False,C0019
A00077,9575.9,USD,CHECKING,0.0,False,C0007
A00078,29001.1,USD,CHECKING,0.0,False,C0040
A00079,2952.55,USD,SAVINGS,0.0,False,C0064
A00080,45977.42,USD,CHECKING,0.0,False,C0007
A00081,48042.87,USD,CHECKING,0.0,False,C0023
A00082,3519.21,USD,CHECKING,0.0,False,C0030
A00083,20248.4,USD,CHECKING,0.0,False,C0074
A00084,29766.51,USD,CHECKING,0.0,False,C0053
A00085,32902.92,USD,SAVINGS,0.0,False,C0033
A00086,10292.53,USD,SAVINGS,0.0,False,C0030
A00087,13354.16,USD,CHECKING,0.0,False,C0038
A00088,22915.51,USD,CHECKING,0.0,False,C0001
A00089,22968.45,USD,CHECKING,0.0,False,C0009
A00090,26927.96,USD,SAVINGS,0.0,False,C0016
A00091,46669.64,USD,CHECKING,0.0,False,C0031
A00092,18539.4,USD,CHECKING,0.0,False,C0056
A00093,41703.87,USD,SAVINGS,0.0,False,C0078
A00094,49194.28,USD,CHECKING,0.0,False,C0070
A00095,15039.0,USD,CHECKING,0.0,False,C0017
A00096,13296.85,USD,CHECKING,0.0,False,C0070
A00097,7856.85,USD,SAVINGS,0.0,False,C0077
A00098,10610.42,USD,SAVINGS,0.0,False,C0026
A00099,34406.11,USD,SAVINGS,0.0,False,C0064
A00100,24477.74,USD,CHECKING,0.0,False,C0011
A00101,31750.79,USD,SAVINGS,0.0,False,C0005
A00102,276.93,USD,CHECKING,0.0,False,C0033
A00103,8162.94,USD,SAVINGS,0.0,False,C0070
A00104,35312.81,USD,CHECKING,0.0,False,C0014
A00105,3854.67,USD,CHECKING,0.0,False,C0069
A00106,1897.8,USD,SAVINGS,0.0,False,C0074
A00107,27671.0,USD,SAVINGS,0.0,False,C0016
A00108,2187.26,USD,SAVINGS,0.0,False,C0005
A00109,44956.34,USD,CHECKING,0.0,False,C0031
A00110,33379.98,USD,SAVINGS,0.0,False,C0071
A00111,44218.32,USD,SAVINGS,0.0,False,C0079
A00112,37498.93,USD,CHECKING,0.0,False,C0020
A00113,48812.68,USD,CHECKING,0.0,False,C0052
A00114,1336.84,USD,SAVINGS,0.0,False,C0052
A00115,40131.53,USD,CHECKING,0.0,False,C0034
A00116,8043.97,USD,CHECKING,0.0,False,C0048
A00117,43621.12,USD,SAVINGS,0.0,False,C0028
A00118,10058.68,USD,SAVINGS,0.0,False,C0044
A00119,15329.02,USD,CHECKING,0.0,False,C0028
