deviceID,ipAddress
D0000,10.12.98.103
D0001,10.168.142.222
D0002,10.35.142.90
D0003,10.204.169.241
D0004,10.14.59.225
D0005,10.133.91.149
D0006,10.135.19.28
D0007,10.222.176.187
D0008,10.160.223.156
D0009,10.59.197.231
D0010,10.97.130.12
D0011,10.223.0.134
D0012,10.100.186.111
D0013,10.35.169.160
D0014,10.160.63.185
D0015,10.153.158.171
D0016,10.209.167.104
D0017,10.151.65.50
D0018,10.215.194.174
D0019,10.89.154.104
D0020,10.0.155.74
D0021,10.107.220.202
D0022,10.164.238.114
D0023,10.226.109.131
D0024,10.242.86.169
D0025,10.43.145.132
D0026,10.171.47.210
D0027,10.120.158.58
D0028,10.101.75.7
D0029,10.23.125.252
D0030,10.243.37.117
D0031,10.212.99.184
D0032,10.196.253.103
D0033,10.124.75.168
D0034,10.2.54.200
D0035,10.217.112.46
D0036,10.237.25.143
D0037,10.127.62.117
D0038,10.68.237.171
D0039,10.162.226.157
D0040,10.218.228.230
D0041,10.81.243.116
D0042,10.132.126.216
D0043,10.141.248.161
D0044,10.122.140.113
D0045,10.39.146.61
D0046,10.139.171.82
D0047,10.41.70.39
D0048,10.118.196.178
D0049,10.78.109.17
D0050,10.212.208.85
D0051,10.238.212.16
D0052,10.105.215.100
D0053,10.10.194.123
D0054,10.3.180.77
D0055,10.199.214.138
D0056,10.112.249.57
D0057,10.139.223.125
D0058,10.14.199.87
D0059,10.207.84.216
