transactionID,deviceID
T_EWAOUAXE,D0024
T_QM5K8P4Q,D0014
T_2X18HAFE,D0029
T_1GV0E38D,D0043
T_OZCYWD14,D0050
T_TXCXAPRP,D0009
T_08J3TRP0,D0017
T_IQVNB4GH,D0056
T_5USGIOTI,D0050
T_KOIXNTM9,D0029
T_JEGET1GH,D0038
T_3KMKZEBB,D0055
T_DAKRM8J5,D0031
T_WBFUK9E1,D0049
T_QP49KWV0,D0013
T_CITFOYQB,D0055
T_Y72WX7PT,D0004
T_2V37PQKO,D0028
T_BPLJD84U,D0002
T_GSPK9P38,D0020
T_4LYK83TQ,D0049
T_S9XTOGN1,D0017
T_7PZE9VIF,D0005
T_6QE3RZSJ,D0029
T_N7S55J2O,D0052
T_04UX5QRL,D0059
T_GZUI1B0Z,D0050
T_9RBSV55P,D0046
T_58C2JWOC,D0020
T_5RTWIYKI,D0045
T_PY6B2KNF,D0050
T_GVNYRUIW,D0057
T_TC89K8YQ,D0006
T_UU9K9XJU,D0047
T_6K2VMWWY,D0006
T_XLPU0DK0,D0056
T_SJF678K5,D0009
T_40982N2A,D0043
T_JNWNYQW7,D0041
T_36KOF8KR,D0024
T_Y08P0FOD,D0002
T_HQIN9N6X,D0007
T_QXXVA2IE,D0013
T_3I12VJ99,D0042
T_EM2VAJEP,D0028
T_SDS8B25S,D0030
T_PDZP6LFE,D0045
T_9TQVDZ4X,D0028
T_O3O0LLJ8,D0005
T_DD03UVUL,D0048
T_6BKLDSFR,D0023
T_KIPU1WYU,D0011
T_17MGFXC0,D0033
T_PMNZ1UDB,D0043
T_PPVOHSMD,D0033
T_BOVAKHEJ,D0047
T_ETIUYMO0,D0055
T_POXKO8G8,D0027
T_IVSOLMLG,D0032
T_1M8XFDJG,D0049
T_QUUY5X9L,D0028
T_PKJCSLQC,D0055
T_WSQT26Q3,D0030
T_8Q349DXB,D0033
T_N7N1YBWM,D0024
T_0X65MUFM,D0038
T_LN23Y30Y,D0023
T_L8M1G9FK,D0053
T_SX5WVFGY,D0028
T_NZ8V12II,D0023
T_9QKNS832,D0041
T_N7ZSEDFQ,D0058
T_QMABSI9N,D0041
T_FB7R31QW,D0013
T_T0SEKKBP,D0007
T_RTWUZKAM,D0042
T_9CSS9TOQ,D0047
T_2M0W10LB,D0029
T_W3C1QKBH,D0025
T_RBXK5BXJ,D0047
T_8MGYN2JC,D0052
T_KDLKQZFP,D0027
T_98CWN2Y8,D0050
T_EIXN8BFQ,D0036
T_NLK8AGS6,D0028
T_K6RE4Q6Q,D0022
T_TKKFZZGN,D0015
T_ATN2TWDL,D0026
T_3C9XQYM5,D0049
T_S53SKF7I,D0054
T_H8JWWDXV,D0039
T_V4U3BBXU,D0039
T_RWK8R2YK,D0028
T_QMF5L9MO,D0006
T_QJIDKNWI,D0059
T_L1RSRLA8,D0037
T_BR5XQT4P,D0023
T_BUNKNQT3,D0008
T_N9UNFVOB,D0033
T_VSLWF90K,D0031
T_K3NY9V20,D0030
T_21UZVGWW,D0015
T_8DALFYO1,D0008
T_U9RN8QTT,D0030
T_KK791ZYR,D0017
T_UT6OM1FB,D0059
T_JRHT7ZEW,D0042
T_IIDLRYE8,D0041
T_5RH8LX6D,D0046
T_B7P47B42,D0000
T_V7MQXS6E,D0051
T_FQJG02U1,D0032
T_OD9R7ANQ,D0037
T_AXYCELOS,D0007
T_7NH8RQ9N,D0051
T_HI15CQZC,D0057
T_UFLSEHUD,D0008
T_QCQ30O30,D0022
T_TC69QKGE,D0057
T_56NYXTXM,D0033
T_9419QZPN,D0009
T_70E3P15A,D0002
T_Y5IBPT11,D0052
T_UU13I59S,D0035
T_0GYUBMXN,D0009
T_GTII4FQC,D0033
T_IHX74D0G,D0002
T_G10UR5L8,D0007
T_RIVH6T1N,D0016
T_5Q201LHL,D0009
T_TVZKHIUI,D0048
T_8XRG2GZR,D0003
T_4C3BAEWC,D0029
T_WYWRRATA,D0018
T_3Y36DDFG,D0050
T_NOU9IY4X,D0025
T_RWZC4XL9,D0014
T_55RBC76U,D0013
T_1ZOCFI4O,D0048
T_2YC0MDIC,D0025
T_BJ9RM7PY,D0018
T_ZCFZW0LD,D0023
T_DDPUSDDT,D0000
T_ND669UGN,D0031
T_GJK2N7ZR,D0008
T_8LW2LM34,D0020
T_HL88KZRU,D0052
T_N7H9G1A0,D0051
T_Y32ORWIX,D0028
T_UT75PB8Z,D0058
T_1XMXB9YO,D0000
T_H0UYHNQY,D0001
T_K7D30MM2,D0006
T_ZLK3E4XY,D0011
T_LPQ2WGXO,D0037
T_AHKZ2U2T,D0007
T_5SXVWVM4,D0037
T_EEKGYSPE,D0040
T_77GGKG4W,D0008
T_NUXORZPG,D0002
T_TGQ01TEE,D0052
T_1PHP0XI5,D0055
T_P91I3VMZ,D0008
T_32UTVG9K,D0052
T_82795E5I,D0025
T_UJOQW5DS,D0031
T_A100QXMC,D0052
T_J3MUURMY,D0050
T_A7FQ9P96,D0055
T_JXJN6FOK,D0041
T_DHCVSQAM,D0008
T_ID3DNKN3,D0033
T_VFMH07WP,D0048
T_0MP2IXIV,D0001
T_5HVGOX22,D0015
T_VT997E4U,D0049
T_VAH78OKZ,D0025
T_TWJLSH3T,D0044
T_8II7EWBX,D0000
T_ZF8S2ZGE,D0056
T_6MPSJ9WR,D0054
T_NJDU0ISB,D0030
T_7G8B2ZXI,D0052
T_NS6G298C,D0020
T_QNK20IN8,D0057
T_2F7ATWYA,D0046
T_H9P89FKB,D0044
T_Q0USWOVC,D0018
T_L2Z0LJCH,D0009
T_QLEM1QQ4,D0044
T_H4FZ8OBK,D0025
T_UTDD2EC2,D0023
T_7DV7C9HX,D0007
T_B7P0RNPM,D0028
T_BWIKOTCK,D0056
T_I9TANZR2,D0020
T_GLH62C9T,D0006
T_IT2018U9,D0015
T_3Z6BZ8UU,D0019
T_BCVARLW3,D0003
T_V71448N7,D0019
T_90PXRLZU,D0014
T_3N0KGAZU,D0011
T_78HU7F0I,D0056
T_ZX5QJICJ,D0024
T_PFO5MN32,D0028
T_4KL8CGN0,D0038
T_RB7F6FDH,D0059
T_JKIBU4FM,D0040
T_HAGKC4LO,D0041
T_G5NQJQIJ,D0042
T_T8VT43PT,D0056
T_KO4BUSU9,D0010
T_GBCYH3FV,D0024
T_T4S7AZV2,D0036
T_177UDKTM,D0031
T_RGOWYOO5,D0030
T_6A3KKRZD,D0047
T_3JPXGH30,D0032
T_CZO2SUG5,D0002
T_7ZJ3SWEB,D0011
T_VMF60YKN,D0054
T_IHXS58YR,D0051
T_J2K8XPNM,D0043
T_WVA984UV,D0004
T_X5JZ6KF1,D0042
T_FARK6O0U,D0046
T_YWR7MKGX,D0030
T_J31GYMDM,D0050
T_NVQEBWUW,D0007
T_NKB4EHOU,D0020
T_GCL9LCQH,D0031
T_2EPPPRAT,D0048
T_GYWIYMEN,D0052
T_8QSSPYE9,D0058
T_OI0E0VGN,D0056
T_1WVBD4BE,D0016
T_FZWKXXJV,D0046
T_K2RV239M,D0035
T_H7LAY64Y,D0004
T_6XQ9JB35,D0020
T_E46AEXL6,D0005
T_MEOQ4YRP,D0008
T_C7FOV2YG,D0001
T_506RR5PC,D0055
T_1UU9YMSZ,D0022
T_XF36WA7S,D0004
T_LLKSTN3C,D0005
T_QERXDOUA,D0040
T_SHY8NBIQ,D0030
T_NQDXAMW2,D0006
T_FFZZDVG7,D0045
T_1BWYE6QV,D0033
T_TPV726YG,D0042
T_5SN961J8,D0008
T_Z0KZ4Z7W,D0018
T_7EZ9GTWZ,D0037
T_ZY6T5PAD,D0003
T_1FKJ4YK1,D0039
T_050UI22K,D0026
T_LTAJW253,D0034
T_H0GQ9C80,D0017
T_EVJLZFFL,D0019
T_UM2LHGCS,D0005
T_5XLK8WRU,D0042
T_IX7IB5N2,D0046
T_63N2QB6G,D0049
T_WHWHY4H3,D0052
T_YAZBCGJC,D0024
T_OLOEAZC0,D0059
T_KYVK7N3B,D0047
T_2T8FY620,D0055
T_EAVT8K06,D0054
T_FH4GG244,D0041
T_KCD0RLEX,D0057
T_RLXYFU38,D0050
T_0P4E05QM,D0011
