transactionID,amount,timestamp,transactionType
T_EWAOUAXE,926.09,2025-01-01T09:00:00,DEBIT
T_QM5K8P4Q,1499.3,2025-01-01T09:05:00,DEBIT
T_2X18HAFE,1340.57,2025-01-01T09:14:00,TRANSFER
T_1GV0E38D,56.23,2025-01-01T09:17:00,CREDIT
T_OZCYWD14,1202.82,2025-01-01T09:20:00,CREDIT
T_TXCXAPRP,727.57,2025-01-01T09:28:00,CREDIT
T_08J3TRP0,540.45,2025-01-01T09:31:00,TRANSFER
T_IQVNB4GH,1596.68,2025-01-01T09:37:00,DEBIT
T_5USGIOTI,954.81,2025-01-01T09:43:00,DEBIT
T_KOIXNTM9,1103.03,2025-01-01T09:47:00,CREDIT
T_JEGET1GH,970.98,2025-01-01T09:54:00,CREDIT
T_3KMKZEBB,587.81,2025-01-01T09:56:00,CREDIT
T_DAKRM8J5,232.6,2025-01-01T10:00:00,DEBIT
T_WBFUK9E1,1214.6,2025-01-01T10:09:00,TRANSFER
T_QP49KWV0,1895.44,2025-01-01T10:11:00,CREDIT
T_CITFOYQB,579.77,2025-01-01T10:17:00,CREDIT
T_Y72WX7PT,1297.03,2025-01-01T10:22:00,TRANSFER
T_2V37PQKO,548.13,2025-01-01T10:29:00,DEBIT
T_BPLJD84U,1901.82,2025-01-01T10:32:00,CREDIT
T_GSPK9P38,942.67,2025-01-01T10:38:00,DEBIT
T_4LYK83TQ,632.46,2025-01-01T10:42:00,TRANSFER
T_S9XTOGN1,1252.69,2025-01-01T10:45:00,TRANSFER
T_7PZE9VIF,1103.92,2025-01-01T10:54:00,DEBIT
T_6QE3RZSJ,1670.27,2025-01-01T10:58:00,TRANSFER
T_N7S55J2O,1868.83,2025-01-01T11:04:00,DEBIT
T_04UX5QRL,1526.93,2025-01-01T11:08:00,DEBIT
T_GZUI1B0Z,1623.76,2025-01-01T11:13:00,CREDIT
T_9RBSV55P,1054.27,2025-01-01T11:18:00,TRANSFER
T_58C2JWOC,660.49,2025-01-01T11:24:00,DEBIT
T_5RTWIYKI,185.31,2025-01-01T11:25:00,CREDIT
T_PY6B2KNF,1064.68,2025-01-01T11:34:00,CREDIT
T_GVNYRUIW,921.84,2025-01-01T11:35:00,DEBIT
T_TC89K8YQ,607.73,2025-01-01T11:43:00,DEBIT
T_UU9K9XJU,1373.17,2025-01-01T11:45:00,CREDIT
T_6K2VMWWY,1443.25,2025-01-01T11:51:00,CREDIT
T_XLPU0DK0,355.4,2025-01-01T11:56:00,CREDIT
T_SJF678K5,1609.44,2025-01-01T12:03:00,TRANSFER
T_40982N2A,1075.46,2025-01-01T12:08:00,DEBIT
T_JNWNYQW7,659.37,2025-01-01T12:14:00,TRANSFER
T_36KOF8KR,198.9,2025-01-01T12:19:00,TRANSFER
T_Y08P0FOD,981.25,2025-01-01T12:23:00,DEBIT
T_HQIN9N6X,125.8,2025-01-01T12:27:00,TRANSFER
T_QXXVA2IE,1131.33,2025-01-01T12:30:00,CREDIT
T_3I12VJ99,1082.73,2025-01-01T12:36:00,TRANSFER
T_EM2VAJEP,231.73,2025-01-01T12:40:00,DEBIT
T_SDS8B25S,918.79,2025-01-01T12:45:00,TRANSFER
T_PDZP6LFE,1250.51,2025-01-01T12:54:00,CREDIT
T_9TQVDZ4X,1539.08,2025-01-01T12:56:00,DEBIT
T_O3O0LLJ8,1375.21,2025-01-01T13:03:00,TRANSFER
T_DD03UVUL,248.85,2025-01-01T13:07:00,CREDIT
T_6BKLDSFR,1695.31,2025-01-01T13:12:00,CREDIT
T_KIPU1WYU,1219.94,2025-01-01T13:17:00,TRANSFER
T_17MGFXC0,1943.76,2025-01-01T13:20:00,CREDIT
T_PMNZ1UDB,319.03,2025-01-01T13:29:00,TRANSFER
T_PPVOHSMD,1358.04,2025-01-01T13:34:00,DEBIT
T_BOVAKHEJ,659.6,2025-01-01T13:35:00,DEBIT
T_ETIUYMO0,875.26,2025-01-01T13:43:00,TRANSFER
T_POXKO8G8,922.89,2025-01-01T13:47:00,TRANSFER
T_IVSOLMLG,1023.41,2025-01-01T13:50:00,CREDIT
T_1M8XFDJG,309.98,2025-01-01T13:55:00,TRANSFER
T_QUUY5X9L,1942.09,2025-01-01T14:02:00,TRANSFER
T_PKJCSLQC,1664.23,2025-01-01T14:05:00,CREDIT
T_WSQT26Q3,1305.42,2025-01-01T14:12:00,CREDIT
T_8Q349DXB,1416.71,2025-01-01T14:18:00,CREDIT
T_N7N1YBWM,662.73,2025-01-01T14:24:00,CREDIT
T_0X65MUFM,1935.55,2025-01-01T14:28:00,TRANSFER
T_LN23Y30Y,1055.15,2025-01-01T14:33:00,CREDIT
T_L8M1G9FK,1577.3,2025-01-01T14:39:00,CREDIT
T_SX5WVFGY,1251.36,2025-01-01T14:41:00,CREDIT
T_NZ8V12II,1931.37,2025-01-01T14:48:00,TRANSFER
T_9QKNS832,281.11,2025-01-01T14:52:00,TRANSFER
T_N7ZSEDFQ,1029.14,2025-01-01T14:58:00,TRANSFER
T_QMABSI9N,61.23,2025-01-01T15:00:00,CREDIT
T_FB7R31QW,1812.19,2025-01-01T15:05:00,DEBIT
T_T0SEKKBP,1588.83,2025-01-01T15:13:00,TRANSFER
T_RTWUZKAM,1143.47,2025-01-01T15:16:00,CREDIT
T_9CSS9TOQ,1273.16,2025-01-01T15:22:00,DEBIT
T_2M0W10LB,1094.3,2025-01-01T15:26:00,CREDIT
T_W3C1QKBH,88.6,2025-01-01T15:32:00,CREDIT
T_RBXK5BXJ,1599.69,2025-01-01T15:38:00,DEBIT
T_8MGYN2JC,851.88,2025-01-01T15:43:00,CREDIT
T_KDLKQZFP,897.02,2025-01-01T15:47:00,CREDIT
T_98CWN2Y8,289.85,2025-01-01T15:54:00,CREDIT
T_EIXN8BFQ,745.07,2025-01-01T15:58:00,TRANSFER
T_NLK8AGS6,239.93,2025-01-01T16:02:00,CREDIT
T_K6RE4Q6Q,180.14,2025-01-01T16:07:00,CREDIT
T_TKKFZZGN,452.36,2025-01-01T16:11:00,TRANSFER
T_ATN2TWDL,1999.19,2025-01-01T16:18:00,CREDIT
T_3C9XQYM5,1561.62,2025-01-01T16:24:00,TRANSFER
T_S53SKF7I,1895.23,2025-01-01T16:29:00,DEBIT
T_H8JWWDXV,1163.39,2025-01-01T16:31:00,CREDIT
T_V4U3BBXU,1304.0,2025-01-01T16:39:00,DEBIT
T_RWK8R2YK,150.58,2025-01-01T16:40:00,TRANSFER
T_QMF5L9MO,1522.53,2025-01-01T16:49:00,CREDIT
T_QJIDKNWI,1731.29,2025-01-01T16:51:00,DEBIT
T_L1RSRLA8,1013.36,2025-01-01T16:56:00,TRANSFER
T_BR5XQT4P,1765.5,2025-01-01T17:02:00,DEBIT
T_BUNKNQT3,1248.37,2025-01-01T17:09:00,TRANSFER
T_N9UNFVOB,82.63,2025-01-01T17:12:00,DEBIT
T_VSLWF90K,676.07,2025-01-01T17:19:00,CREDIT
T_K3NY9V20,1377.65,2025-01-01T17:20:00,CREDIT
T_21UZVGWW,1683.13,2025-01-01T17:26:00,CREDIT
T_8DALFYO1,1841.44,2025-01-01T17:30:00,CREDIT
T_U9RN8QTT,1353.36,2025-01-01T17:37:00,CREDIT
T_KK791ZYR,962.21,2025-01-01T17:44:00,CREDIT
T_UT6OM1FB,1910.85,2025-01-01T17:45:00,DEBIT
T_JRHT7ZEW,1175.73,2025-01-01T17:51:00,TRANSFER
T_IIDLRYE8,1955.93,2025-01-01T17:56:00,DEBIT
T_5RH8LX6D,1150.4,2025-01-01T18:04:00,CREDIT
T_B7P47B42,376.69,2025-01-01T18:07:00,TRANSFER
T_V7MQXS6E,1010.9,2025-01-01T18:12:00,TRANSFER
T_FQJG02U1,355.11,2025-01-01T18:18:00,DEBIT
T_OD9R7ANQ,537.65,2025-01-01T18:22:00,DEBIT
T_AXYCELOS,1790.76,2025-01-01T18:27:00,CREDIT
T_7NH8RQ9N,1405.37,2025-01-01T18:33:00,CREDIT
T_HI15CQZC,1130.52,2025-01-01T18:35:00,CREDIT
T_UFLSEHUD,1023.2,2025-01-01T18:40:00,DEBIT
T_QCQ30O30,1158.73,2025-01-01T18:45:00,DEBIT
T_TC69QKGE,1284.84,2025-01-01T18:53:00,DEBIT
T_56NYXTXM,361.05,2025-01-01T18:59:00,DEBIT
T_9419QZPN,463.18,2025-01-01T19:03:00,DEBIT
T_70E3P15A,416.13,2025-01-01T19:05:00,CREDIT
T_Y5IBPT11,284.57,2025-01-01T19:12:00,TRANSFER
T_UU13I59S,830.05,2025-01-01T19:17:00,TRANSFER
T_0GYUBMXN,1051.3,2025-01-01T19:23:00,DEBIT
T_GTII4FQC,828.29,2025-01-01T19:28:00,CREDIT
T_IHX74D0G,540.58,2025-01-01T19:34:00,CREDIT
T_G10UR5L8,35.59,2025-01-01T19:36:00,CREDIT
T_RIVH6T1N,1069.63,2025-01-01T19:42:00,DEBIT
T_5Q201LHL,96.2,2025-01-01T19:46:00,CREDIT
T_TVZKHIUI,1103.53,2025-01-01T19:52:00,DEBIT
T_8XRG2GZR,1834.21,2025-01-01T19:59:00,CREDIT
T_4C3BAEWC,306.3,2025-01-01T20:01:00,CREDIT
T_WYWRRATA,1061.19,2025-01-01T20:07:00,CREDIT
T_3Y36DDFG,1055.28,2025-01-01T20:12:00,DEBIT
T_NOU9IY4X,1717.15,2025-01-01T20:15:00,TRANSFER
T_RWZC4XL9,1947.81,2025-01-01T20:24:00,TRANSFER
T_55RBC76U,70.64,2025-01-01T20:27:00,TRANSFER
T_1ZOCFI4O,1793.57,2025-01-01T20:32:00,DEBIT
T_2YC0MDIC,1212.31,2025-01-01T20:39:00,CREDIT
